solution_id,booth_label,booth_id,position_in_booth,job_index,job_id,feeder_index,part_id,topcoat
65,PB1,1,3,62,J000007,63,middle_spoiler_a,C_POLAR_WHITE
65,PB1,1,4,122,J000149,123,threshold_a,C_POLAR_WHITE
65,PB1,1,5,123,J000150,124,threshold_a,C_POLAR_WHITE
65,PB1,1,6,107,J000134,108,rim_decoration_a,C_POLAR_WHITE
65,PB1,1,7,52,J000056,53,front_bumper_e,C_OBSIDIAN_BLACK
65,PB1,1,8,60,J000102,61,rear_bumper_c,C_OBSIDIAN_BLACK
65,PB1,1,9,78,J000105,79,rear_bumper_d,C_OBSIDIAN_BLACK
65,PB1,1,10,54,J000096,55,rear_bumper_c,C_OBSIDIAN_BLACK
65,PB1,1,11,160,J000081,161,rear_bumper_a,C_RUBY_RED
65,PB1,1,12,28,J000006,29,middle_spoiler_a,C_OBSIDIAN_BLACK
65,PB1,1,13,67,J000020,68,front_bumper_a,C_POLAR_WHITE
65,PB1,1,14,45,J000140,46,threshold_a,C_SHINING_BLUE
65,PB1,1,15,91,J000166,92,threshold_c,C_OBSIDIAN_BLACK
65,PB1,1,16,109,J000009,110,middle_spoiler_a,C_MILAN_SILVER
65,PB1,1,17,25,J000126,26,shell_a,C_SHINING_BLUE
65,PB1,1,18,161,J000082,162,rear_bumper_a,C_RUBY_RED
65,PB1,1,19,53,J000095,54,rear_bumper_c,C_OBSIDIAN_BLACK
65,PB1,1,20,40,J000043,41,front_bumper_d,C_OBSIDIAN_BLACK
65,PB1,1,21,68,J000021,69,front_bumper_a,C_POLAR_WHITE
65,PB1,1,22,130,J000171,131,threshold_d,C_POLAR_WHITE
65,PB1,1,23,133,J000028,134,front_bumper_b,C_SAPPHIRE_BLUE
65,PB1,1,24,83,J000156,84,threshold_b,C_OBSIDIAN_BLACK
65,PB1,1,25,31,J000016,32,front_bumper_a,C_OBSIDIAN_BLACK
65,PB1,1,26,30,J000015,31,front_bumper_a,C_OBSIDIAN_BLACK
65,PB1,1,27,79,J000112,80,rear_bumper_f,C_OBSIDIAN_BLACK
65,PB1,1,28,74,J000065,75,front_bumper_f,C_POLAR_WHITE
65,PB1,1,29,44,J000139,45,threshold_a,C_SHINING_BLUE
65,PB1,1,30,85,J000158,86,threshold_b,C_OBSIDIAN_BLACK
65,PB1,1,31,17,J000050,18,front_bumper_e,C_SHINING_BLUE
65,PB1,1,32,19,J000063,20,front_bumper_f,C_SHINING_BLUE
65,PB1,1,33,179,J000075,180,front_bumper_g,C_UNIVERSE_BLACK
65,PB1,1,34,137,J000094,138,rear_bumper_c,C_SAPPHIRE_BLUE
65,PB1,1,35,163,J000084,164,rear_bumper_a,C_RUBY_RED
65,PB1,1,36,13,J000010,14,front_bumper_a,C_SHINING_BLUE
65,PB1,1,37,111,J000057,112,front_bumper_e,C_MILAN_SILVER
65,PB1,1,38,29,J000014,30,front_bumper_a,C_OBSIDIAN_BLACK
65,PB1,1,39,159,J000052,160,front_bumper_e,C_RUBY_RED
65,PB1,1,40,4,J000027,5,front_bumper_a,C_IRIDIUM_SILVER
65,PB1,1,41,162,J000083,163,rear_bumper_a,C_RUBY_RED
65,PB1,1,42,138,J000128,139,shell_a,C_SAPPHIRE_BLUE
65,PB1,1,43,51,J000055,52,front_bumper_e,C_OBSIDIAN_BLACK
65,PB1,1,44,10,J000174,11,threshold_trim_a,C_IRIDIUM_SILVER
65,PB1,1,45,11,J000175,12,threshold_trim_a,C_IRIDIUM_SILVER
65,PB1,1,46,12,J000005,13,middle_spoiler_a,C_SHINING_BLUE
65,PB1,1,47,34,J000035,35,front_bumper_c,C_OBSIDIAN_BLACK
65,PB1,1,48,142,J000155,143,threshold_b,C_SAPPHIRE_BLUE
65,PB1,1,49,32,J000033,33,front_bumper_c,C_OBSIDIAN_BLACK
65,PB1,1,50,59,J000101,60,rear_bumper_c,C_OBSIDIAN_BLACK
65,PB1,1,51,24,J000109,25,rear_bumper_f,C_SHINING_BLUE
65,PB1,1,52,117,J000153,118,threshold_a,C_MILAN_SILVER
65,PB1,1,53,115,J000120,116,rear_bumper_g,C_MILAN_SILVER
65,PB1,1,54,86,J000159,87,threshold_b,C_OBSIDIAN_BLACK
