exp_id,method_id,source_step,solution_type,solution_id,seed_mode,label,has_des,f1,f2,f3,f4,beta,theta,baseline_method_id,baseline_solution_id,delta_f1,delta_f2,delta_f3,dominates_baseline
E0,S07_NSGA,7,front_point,34,none,"S07_NSGA (seed=none, id=34)",False,166.0,0.2347797152910752,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,35,none,"S07_NSGA (seed=none, id=35)",False,166.0,0.2347797152910752,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,36,none,"S07_NSGA (seed=none, id=36)",False,165.0,0.2357058596472737,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,37,none,"S07_NSGA (seed=none, id=37)",False,165.0,0.2357058596472737,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,38,none,"S07_NSGA (seed=none, id=38)",False,164.0,0.2358806038654245,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,39,none,"S07_NSGA (seed=none, id=39)",False,161.0,0.2359505015526848,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,40,none,"S07_NSGA (seed=none, id=40)",False,161.0,0.2359505015526848,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,41,none,"S07_NSGA (seed=none, id=41)",False,160.0,0.2368416970652532,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,42,none,"S07_NSGA (seed=none, id=42)",False,160.0,0.2368416970652532,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,43,none,"S07_NSGA (seed=none, id=43)",False,157.0,0.2368941203306985,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,44,none,"S07_NSGA (seed=none, id=44)",False,157.0,0.2368941203306985,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,45,none,"S07_NSGA (seed=none, id=45)",False,153.0,0.2387114601994656,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,46,none,"S07_NSGA (seed=none, id=46)",False,153.0,0.2387114601994656,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,47,none,"S07_NSGA (seed=none, id=47)",False,152.0,0.2387638834649108,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,48,none,"S07_NSGA (seed=none, id=48)",False,151.0,0.2404239535373422,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,49,none,"S07_NSGA (seed=none, id=49)",False,151.0,0.2404239535373422,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,50,none,"S07_NSGA (seed=none, id=50)",False,150.0,0.241891804969808,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,51,none,"S07_NSGA (seed=none, id=51)",False,150.0,0.241891804969808,39.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,52,none,"S07_NSGA (seed=none, id=52)",False,181.0,0.2325080404551163,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,53,none,"S07_NSGA (seed=none, id=53)",False,180.0,0.2326827846732669,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,54,none,"S07_NSGA (seed=none, id=54)",False,175.0,0.2330672219531986,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,55,none,"S07_NSGA (seed=none, id=55)",False,175.0,0.2330672219531986,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,56,none,"S07_NSGA (seed=none, id=56)",False,174.0,0.2331021707968285,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,57,none,"S07_NSGA (seed=none, id=57)",False,174.0,0.2331021707968285,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,58,none,"S07_NSGA (seed=none, id=58)",False,169.0,0.234238008214808,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,59,none,"S07_NSGA (seed=none, id=59)",False,169.0,0.234238008214808,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,60,none,"S07_NSGA (seed=none, id=60)",False,166.0,0.2345700222292943,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,61,none,"S07_NSGA (seed=none, id=61)",False,166.0,0.2345700222292943,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,62,none,"S07_NSGA (seed=none, id=62)",False,165.0,0.2346923431819997,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,63,none,"S07_NSGA (seed=none, id=63)",False,162.0,0.2354612177418628,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,64,none,"S07_NSGA (seed=none, id=64)",False,159.0,0.2359854503963149,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,65,none,"S07_NSGA (seed=none, id=65)",False,155.0,0.237016441283404,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,66,none,"S07_NSGA (seed=none, id=66)",False,154.0,0.2372436087669998,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,67,none,"S07_NSGA (seed=none, id=67)",False,154.0,0.2372436087669998,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,68,none,"S07_NSGA (seed=none, id=68)",False,152.0,0.2374707762505956,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,69,none,"S07_NSGA (seed=none, id=69)",False,152.0,0.2374707762505956,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,70,none,"S07_NSGA (seed=none, id=70)",False,152.0,0.2374707762505956,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,71,none,"S07_NSGA (seed=none, id=71)",False,144.0,0.2379600600614174,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,72,none,"S07_NSGA (seed=none, id=72)",False,144.0,0.2379600600614174,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,73,none,"S07_NSGA (seed=none, id=73)",False,143.0,0.2384493438722394,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,74,none,"S07_NSGA (seed=none, id=74)",False,143.0,0.2384493438722394,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,75,none,"S07_NSGA (seed=none, id=75)",False,142.0,0.2386939857776503,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,76,none,"S07_NSGA (seed=none, id=76)",False,142.0,0.2386939857776503,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,77,none,"S07_NSGA (seed=none, id=77)",False,142.0,0.2386939857776503,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,78,none,"S07_NSGA (seed=none, id=78)",False,139.0,0.2437790425258352,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,79,none,"S07_NSGA (seed=none, id=79)",False,130.0,0.244757610147479,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,80,none,"S07_NSGA (seed=none, id=80)",False,129.0,0.2455789079727874,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,81,none,"S07_NSGA (seed=none, id=81)",False,129.0,0.2455789079727874,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,82,none,"S07_NSGA (seed=none, id=82)",False,128.0,0.2490038946485407,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,83,none,"S07_NSGA (seed=none, id=83)",False,128.0,0.2490038946485407,41.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,84,none,"S07_NSGA (seed=none, id=84)",False,128.0,0.2486019829467942,42.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,85,none,"S07_NSGA (seed=none, id=85)",False,128.0,0.2486019829467942,42.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,86,none,"S07_NSGA (seed=none, id=86)",False,179.0,0.2325080404551163,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,87,none,"S07_NSGA (seed=none, id=87)",False,179.0,0.2325080404551163,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,88,none,"S07_NSGA (seed=none, id=88)",False,174.0,0.2325604637205615,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,89,none,"S07_NSGA (seed=none, id=89)",False,174.0,0.2325604637205615,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,90,none,"S07_NSGA (seed=none, id=90)",False,168.0,0.2337661988258013,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,91,none,"S07_NSGA (seed=none, id=91)",False,168.0,0.2337661988258013,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,92,none,"S07_NSGA (seed=none, id=92)",False,158.0,0.2344127524329586,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,93,none,"S07_NSGA (seed=none, id=93)",False,153.0,0.2351641525710067,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,94,none,"S07_NSGA (seed=none, id=94)",False,153.0,0.2351641525710067,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,95,none,"S07_NSGA (seed=none, id=95)",False,150.0,0.2356010131163835,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,96,none,"S07_NSGA (seed=none, id=96)",False,150.0,0.2356010131163835,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,97,none,"S07_NSGA (seed=none, id=97)",False,143.0,0.2359330271308696,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,98,none,"S07_NSGA (seed=none, id=98)",False,140.0,0.2364747342071368,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,99,none,"S07_NSGA (seed=none, id=99)",False,140.0,0.2364747342071368,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,100,none,"S07_NSGA (seed=none, id=100)",False,138.0,0.239375488228438,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
