token_index,token_type,part_id,part_name,topcoat_name,topcoat_no,color_code,quantity,original,job_id,prov_row_index,prov_seq_in_row,part_part_name,part_part_category,part_part_type,part_part_no,topcoat_topcoat_name,topcoat_topcoat_no,topcoat_topcoat_family,setup_cost,cumulative_setup_cost
29,JOB,threshold_a,Threshold A,Shining Blue,6.0,C_SHINING_BLUE,3.0,204.0,J000138,62.0,1.0,Threshold A,Threshold,A,21.0,Shining Blue,6.0,BLUE,0.0,1.0
30,JOB,middle_spoiler_a,Middle spoiler A,Obsidian Black,10.0,C_OBSIDIAN_BLACK,1.0,72.0,J000006,4.0,1.0,Middle spoiler A,Middle spoiler,A,3.0,Obsidian Black,10.0,BLACK,1.0,2.0
31,JOB,front_bumper_a,Front bumper A,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,212.0,J000014,9.0,1.0,Front bumper A,Front bumper,A,4.0,Obsidian Black,10.0,BLACK,0.0,2.0
32,JOB,front_bumper_a,Front bumper A,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,212.0,J000015,9.0,2.0,Front bumper A,Front bumper,A,4.0,Obsidian Black,10.0,BLACK,0.0,2.0
33,JOB,front_bumper_a,Front bumper A,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,212.0,J000016,9.0,3.0,Front bumper A,Front bumper,A,4.0,Obsidian Black,10.0,BLACK,0.0,2.0
34,JOB,front_bumper_c,Front bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,5.0,424.0,J000033,18.0,1.0,Front bumper C,Front bumper,C,6.0,Obsidian Black,10.0,BLACK,0.0,2.0
35,JOB,front_bumper_c,Front bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,5.0,424.0,J000034,18.0,2.0,Front bumper C,Front bumper,C,6.0,Obsidian Black,10.0,BLACK,0.0,2.0
36,JOB,front_bumper_c,Front bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,5.0,424.0,J000035,18.0,3.0,Front bumper C,Front bumper,C,6.0,Obsidian Black,10.0,BLACK,0.0,2.0
37,JOB,front_bumper_c,Front bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,5.0,424.0,J000036,18.0,4.0,Front bumper C,Front bumper,C,6.0,Obsidian Black,10.0,BLACK,0.0,2.0
38,JOB,front_bumper_c,Front bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,5.0,424.0,J000037,18.0,5.0,Front bumper C,Front bumper,C,6.0,Obsidian Black,10.0,BLACK,0.0,2.0
39,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000040,21.0,1.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,2.0
40,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000041,21.0,2.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,2.0
41,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000042,21.0,3.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,2.0
42,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000043,21.0,4.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,2.0
43,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000044,21.0,5.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,2.0
44,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000045,21.0,6.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,2.0
45,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000046,21.0,7.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,2.0
46,JOB,threshold_a,Threshold A,Shining Blue,6.0,C_SHINING_BLUE,3.0,204.0,J000139,62.0,2.0,Threshold A,Threshold,A,21.0,Shining Blue,6.0,BLUE,1.0,3.0
47,JOB,threshold_a,Threshold A,Shining Blue,6.0,C_SHINING_BLUE,3.0,204.0,J000140,62.0,3.0,Threshold A,Threshold,A,21.0,Shining Blue,6.0,BLUE,0.0,3.0
48,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000047,21.0,8.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,1.0,4.0
49,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000048,21.0,9.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,4.0
50,JOB,front_bumper_d,Front bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,10.0,992.0,J000049,21.0,10.0,Front bumper D,Front bumper,D,7.0,Obsidian Black,10.0,BLACK,0.0,4.0
51,JOB,front_bumper_e,Front bumper E,Obsidian Black,10.0,C_OBSIDIAN_BLACK,4.0,373.0,J000053,24.0,1.0,Front bumper E,Front bumper,E,8.0,Obsidian Black,10.0,BLACK,0.0,4.0
