token_index,token_type,part_id,part_name,topcoat_name,topcoat_no,color_code,quantity,original,job_id,prov_row_index,prov_seq_in_row,part_part_name,part_part_category,part_part_type,part_part_no,topcoat_topcoat_name,topcoat_topcoat_no,topcoat_topcoat_family,setup_cost,cumulative_setup_cost
126,JOB,threshold_a,Threshold A,Polar White,1.0,C_POLAR_WHITE,6.0,505.0,J000147,66.0,1.0,Threshold A,Threshold,A,21.0,Polar White,1.0,WHITE,1.0,8.0
127,JOB,threshold_a,Threshold A,Polar White,1.0,C_POLAR_WHITE,6.0,505.0,J000148,66.0,2.0,Threshold A,Threshold,A,21.0,Polar White,1.0,WHITE,0.0,8.0
128,JOB,threshold_a,Threshold A,Polar White,1.0,C_POLAR_WHITE,6.0,505.0,J000149,66.0,3.0,Threshold A,Threshold,A,21.0,Polar White,1.0,WHITE,0.0,8.0
129,JOB,threshold_a,Threshold A,Polar White,1.0,C_POLAR_WHITE,6.0,505.0,J000150,66.0,4.0,Threshold A,Threshold,A,21.0,Polar White,1.0,WHITE,0.0,8.0
130,JOB,threshold_a,Threshold A,Polar White,1.0,C_POLAR_WHITE,6.0,505.0,J000151,66.0,5.0,Threshold A,Threshold,A,21.0,Polar White,1.0,WHITE,0.0,8.0
131,JOB,threshold_a,Threshold A,Polar White,1.0,C_POLAR_WHITE,6.0,505.0,J000152,66.0,6.0,Threshold A,Threshold,A,21.0,Polar White,1.0,WHITE,0.0,8.0
132,JOB,threshold_d,Threshold D,Polar White,1.0,C_POLAR_WHITE,5.0,468.0,J000167,73.0,1.0,Threshold D,Threshold,D,24.0,Polar White,1.0,WHITE,0.0,8.0
133,JOB,threshold_d,Threshold D,Polar White,1.0,C_POLAR_WHITE,5.0,468.0,J000168,73.0,2.0,Threshold D,Threshold,D,24.0,Polar White,1.0,WHITE,0.0,8.0
134,JOB,threshold_d,Threshold D,Polar White,1.0,C_POLAR_WHITE,5.0,468.0,J000169,73.0,3.0,Threshold D,Threshold,D,24.0,Polar White,1.0,WHITE,0.0,8.0
135,JOB,threshold_d,Threshold D,Polar White,1.0,C_POLAR_WHITE,5.0,468.0,J000170,73.0,4.0,Threshold D,Threshold,D,24.0,Polar White,1.0,WHITE,0.0,8.0
136,JOB,threshold_d,Threshold D,Polar White,1.0,C_POLAR_WHITE,5.0,468.0,J000171,73.0,5.0,Threshold D,Threshold,D,24.0,Polar White,1.0,WHITE,0.0,8.0
137,JOB,radar_bracket_b,Radar bracket B,Polar White,1.0,C_POLAR_WHITE,1.0,32.0,J000178,78.0,1.0,Radar bracket B,Radar bracket,B,28.0,Polar White,1.0,WHITE,0.0,8.0
138,JOB,front_bumper_a,Front bumper A,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,80.0,J000013,8.0,1.0,Front bumper A,Front bumper,A,4.0,Sapphire Blue,5.0,BLUE,1.0,9.0
139,JOB,front_bumper_b,Front bumper B,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,27.0,J000028,13.0,1.0,Front bumper B,Front bumper,B,5.0,Sapphire Blue,5.0,BLUE,0.0,9.0
140,JOB,front_bumper_c,Front bumper C,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,3.0,J000032,17.0,1.0,Front bumper C,Front bumper,C,6.0,Sapphire Blue,5.0,BLUE,0.0,9.0
141,JOB,front_bumper_d,Front bumper D,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,15.0,J000039,20.0,1.0,Front bumper D,Front bumper,D,7.0,Sapphire Blue,5.0,BLUE,0.0,9.0
142,JOB,rear_bumper_a,Rear bumper A,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,3.0,J000085,34.0,1.0,Rear bumper A,Rear bumper,A,11.0,Sapphire Blue,5.0,BLUE,0.0,9.0
143,JOB,rear_bumper_c,Rear bumper C,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,85.0,J000094,38.0,1.0,Rear bumper C,Rear bumper,C,13.0,Sapphire Blue,5.0,BLUE,0.0,9.0
144,JOB,shell_a,Shell A,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,18.0,J000128,53.0,1.0,Shell A,Shell,A,18.0,Sapphire Blue,5.0,BLUE,0.0,9.0
145,JOB,rim_decoration_a,Rim decoration A,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,6.0,J000133,58.0,1.0,Rim decoration A,Rim decoration,A,19.0,Sapphire Blue,5.0,BLUE,0.0,9.0
146,JOB,threshold_a,Threshold A,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,86.0,J000145,64.0,1.0,Threshold A,Threshold,A,21.0,Sapphire Blue,5.0,BLUE,0.0,9.0
147,JOB,radar_bracket_b,Radar bracket B,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,12.0,J000177,77.0,1.0,Radar bracket B,Radar bracket,B,28.0,Sapphire Blue,5.0,BLUE,0.0,9.0
148,EMPTY,,,,,,,,,,,,,,,,,,,
149,JOB,threshold_b,Threshold B,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,94.0,J000155,69.0,1.0,Threshold B,Threshold,B,22.0,Sapphire Blue,5.0,BLUE,0.0,9.0
150,FLUSH,,,,,,,,,,,,,,,,,,,
151,JOB,front_bumper_c,Front bumper C,Diamond White,2.0,C_DIAMOND_WHITE,1.0,78.0,J000038,19.0,1.0,Front bumper C,Front bumper,C,6.0,Diamond White,2.0,WHITE,0.0,9.0
152,JOB,front_bumper_e,Front bumper E,Diamond White,2.0,C_DIAMOND_WHITE,5.0,475.0,J000058,26.0,1.0,Front bumper E,Front bumper,E,8.0,Diamond White,2.0,WHITE,0.0,9.0
153,JOB,front_bumper_e,Front bumper E,Diamond White,2.0,C_DIAMOND_WHITE,5.0,475.0,J000059,26.0,2.0,Front bumper E,Front bumper,E,8.0,Diamond White,2.0,WHITE,0.0,9.0
154,JOB,front_bumper_e,Front bumper E,Diamond White,2.0,C_DIAMOND_WHITE,5.0,475.0,J000060,26.0,3.0,Front bumper E,Front bumper,E,8.0,Diamond White,2.0,WHITE,0.0,9.0
155,JOB,front_bumper_e,Front bumper E,Diamond White,2.0,C_DIAMOND_WHITE,5.0,475.0,J000061,26.0,4.0,Front bumper E,Front bumper,E,8.0,Diamond White,2.0,WHITE,0.0,9.0
156,JOB,front_bumper_e,Front bumper E,Diamond White,2.0,C_DIAMOND_WHITE,5.0,475.0,J000062,26.0,5.0,Front bumper E,Front bumper,E,8.0,Diamond White,2.0,WHITE,0.0,9.0
157,JOB,front_bumper_g,Front bumper G,Diamond White,2.0,C_DIAMOND_WHITE,2.0,121.0,J000077,31.0,1.0,Front bumper G,Front bumper,G,10.0,Diamond White,2.0,WHITE,0.0,9.0
158,JOB,front_bumper_g,Front bumper G,Diamond White,2.0,C_DIAMOND_WHITE,2.0,121.0,J000078,31.0,2.0,Front bumper G,Front bumper,G,10.0,Diamond White,2.0,WHITE,0.0,9.0
159,JOB,rear_bumper_c,Rear bumper C,Diamond White,2.0,C_DIAMOND_WHITE,1.0,87.0,J000104,40.0,1.0,Rear bumper C,Rear bumper,C,13.0,Diamond White,2.0,WHITE,0.0,9.0
160,JOB,rear_bumper_f,Rear bumper F,Diamond White,2.0,C_DIAMOND_WHITE,4.0,323.0,J000116,48.0,1.0,Rear bumper F,Rear bumper,F,16.0,Diamond White,2.0,WHITE,0.0,9.0
161,JOB,rear_bumper_f,Rear bumper F,Diamond White,2.0,C_DIAMOND_WHITE,4.0,323.0,J000117,48.0,2.0,Rear bumper F,Rear bumper,F,16.0,Diamond White,2.0,WHITE,0.0,9.0
162,JOB,rear_bumper_f,Rear bumper F,Diamond White,2.0,C_DIAMOND_WHITE,4.0,323.0,J000118,48.0,3.0,Rear bumper F,Rear bumper,F,16.0,Diamond White,2.0,WHITE,0.0,9.0
163,JOB,rear_bumper_f,Rear bumper F,Diamond White,2.0,C_DIAMOND_WHITE,4.0,323.0,J000119,48.0,4.0,Rear bumper F,Rear bumper,F,16.0,Diamond White,2.0,WHITE,0.0,9.0
164,JOB,rear_bumper_g,Rear bumper G,Diamond White,2.0,C_DIAMOND_WHITE,5.0,427.0,J000121,50.0,1.0,Rear bumper G,Rear bumper,G,17.0,Diamond White,2.0,WHITE,0.0,9.0
165,JOB,rear_bumper_g,Rear bumper G,Diamond White,2.0,C_DIAMOND_WHITE,5.0,427.0,J000122,50.0,2.0,Rear bumper G,Rear bumper,G,17.0,Diamond White,2.0,WHITE,0.0,9.0
166,JOB,rear_bumper_g,Rear bumper G,Diamond White,2.0,C_DIAMOND_WHITE,5.0,427.0,J000123,50.0,3.0,Rear bumper G,Rear bumper,G,17.0,Diamond White,2.0,WHITE,0.0,9.0
167,JOB,front_bumper_e,Front bumper E,Ruby Red,3.0,C_RUBY_RED,1.0,99.0,J000052,23.0,1.0,Front bumper E,Front bumper,E,8.0,Ruby Red,3.0,RED,1.0,10.0
168,JOB,rear_bumper_a,Rear bumper A,Ruby Red,3.0,C_RUBY_RED,4.0,372.0,J000081,33.0,1.0,Rear bumper A,Rear bumper,A,11.0,Ruby Red,3.0,RED,0.0,10.0
169,JOB,rear_bumper_a,Rear bumper A,Ruby Red,3.0,C_RUBY_RED,4.0,372.0,J000082,33.0,2.0,Rear bumper A,Rear bumper,A,11.0,Ruby Red,3.0,RED,0.0,10.0
170,JOB,rear_bumper_a,Rear bumper A,Ruby Red,3.0,C_RUBY_RED,4.0,372.0,J000083,33.0,3.0,Rear bumper A,Rear bumper,A,11.0,Ruby Red,3.0,RED,0.0,10.0
171,JOB,rear_bumper_a,Rear bumper A,Ruby Red,3.0,C_RUBY_RED,4.0,372.0,J000084,33.0,4.0,Rear bumper A,Rear bumper,A,11.0,Ruby Red,3.0,RED,0.0,10.0
172,JOB,rear_bumper_f,Rear bumper F,Ruby Red,3.0,C_RUBY_RED,2.0,101.0,J000110,45.0,1.0,Rear bumper F,Rear bumper,F,16.0,Ruby Red,3.0,RED,0.0,10.0
173,JOB,rear_bumper_f,Rear bumper F,Ruby Red,3.0,C_RUBY_RED,2.0,101.0,J000111,45.0,2.0,Rear bumper F,Rear bumper,F,16.0,Ruby Red,3.0,RED,0.0,10.0
174,JOB,shell_a,Shell A,Ruby Red,3.0,C_RUBY_RED,1.0,7.0,J000127,52.0,1.0,Shell A,Shell,A,18.0,Ruby Red,3.0,RED,0.0,10.0
175,JOB,threshold_a,Threshold A,Ruby Red,3.0,C_RUBY_RED,4.0,351.0,J000141,63.0,1.0,Threshold A,Threshold,A,21.0,Ruby Red,3.0,RED,0.0,10.0
176,JOB,threshold_a,Threshold A,Ruby Red,3.0,C_RUBY_RED,4.0,351.0,J000142,63.0,2.0,Threshold A,Threshold,A,21.0,Ruby Red,3.0,RED,0.0,10.0
177,JOB,threshold_a,Threshold A,Ruby Red,3.0,C_RUBY_RED,4.0,351.0,J000143,63.0,3.0,Threshold A,Threshold,A,21.0,Ruby Red,3.0,RED,0.0,10.0
178,JOB,threshold_a,Threshold A,Ruby Red,3.0,C_RUBY_RED,4.0,351.0,J000144,63.0,4.0,Threshold A,Threshold,A,21.0,Ruby Red,3.0,RED,0.0,10.0
179,JOB,radar_bracket_a,Radar bracket A,Ruby Red,3.0,C_RUBY_RED,1.0,5.0,J000176,76.0,1.0,Radar bracket A,Radar bracket,A,27.0,Ruby Red,3.0,RED,0.0,10.0
180,FLUSH,,,,,,,,,,,,,,,,,,,
181,JOB,rear_bumper_g,Rear bumper G,Diamond White,2.0,C_DIAMOND_WHITE,5.0,427.0,J000124,50.0,4.0,Rear bumper G,Rear bumper,G,17.0,Diamond White,2.0,WHITE,0.0,10.0
182,JOB,rear_bumper_g,Rear bumper G,Diamond White,2.0,C_DIAMOND_WHITE,5.0,427.0,J000125,50.0,5.0,Rear bumper G,Rear bumper,G,17.0,Diamond White,2.0,WHITE,0.0,10.0
183,JOB,rim_decoration_b,Rim decoration B,Diamond White,2.0,C_DIAMOND_WHITE,1.0,26.0,J000137,61.0,1.0,Rim decoration B,Rim decoration,B,20.0,Diamond White,2.0,WHITE,0.0,10.0
184,JOB,threshold_b,Threshold B,Diamond White,2.0,C_DIAMOND_WHITE,2.0,177.0,J000162,71.0,1.0,Threshold B,Threshold,B,22.0,Diamond White,2.0,WHITE,0.0,10.0
185,JOB,threshold_b,Threshold B,Diamond White,2.0,C_DIAMOND_WHITE,2.0,177.0,J000163,71.0,2.0,Threshold B,Threshold,B,22.0,Diamond White,2.0,WHITE,0.0,10.0
186,EMPTY,,,,,,,,,,,,,,,,,,,
187,JOB,radar_bracket_c,Radar bracket C,Diamond White,2.0,C_DIAMOND_WHITE,1.0,26.0,J000179,79.0,1.0,Radar bracket C,Radar bracket,C,29.0,Diamond White,2.0,WHITE,0.0,10.0
188,JOB,radar_bracket_e,Radar bracket E,Diamond White,2.0,C_DIAMOND_WHITE,1.0,6.0,J000183,83.0,1.0,Radar bracket E,Radar bracket,E,31.0,Diamond White,2.0,WHITE,0.0,10.0
189,JOB,front_bumper_g,Front bumper G,Universe Black,9.0,C_UNIVERSE_BLACK,1.0,43.0,J000075,29.0,1.0,Front bumper G,Front bumper,G,10.0,Universe Black,9.0,BLACK,1.0,11.0
190,JOB,shell_a,Shell A,Denim Blue,4.0,C_DENIM_BLUE,1.0,6.0,J000130,55.0,1.0,Shell A,Shell,A,18.0,Denim Blue,4.0,BLUE,1.0,12.0
191,JOB,rim_decoration_b,Rim decoration B,Denim Blue,4.0,C_DENIM_BLUE,1.0,4.0,J000136,60.0,1.0,Rim decoration B,Rim decoration,B,20.0,Denim Blue,4.0,BLUE,0.0,12.0
192,JOB,radar_bracket_e,Radar bracket E,Denim Blue,4.0,C_DENIM_BLUE,1.0,5.0,J000182,82.0,1.0,Radar bracket E,Radar bracket,E,31.0,Denim Blue,4.0,BLUE,0.0,12.0
